customer_id,first_name,last_name,email,region,member_since,loyalty_tier
CUST000001,Nancy,Brown,customer1@example.com,West,2019-02-17,Platinum
CUST000002,Michael,Taylor,customer2@example.com,Central,2017-10-01,Silver
CUST000003,James,Miller,customer3@example.com,North,2017-08-12,Gold
CUST000004,James,Garcia,customer4@example.com,North,2022-05-16,Platinum
CUST000005,Elizabeth,Johnson,customer5@example.com,South,2020-12-10,Silver
CUST000006,Jessica,Davis,customer6@example.com,North,2016-08-06,Gold
CUST000007,John,Smith,customer7@example.com,South,2020-10-29,Platinum
CUST000008,Susan,Davis,customer8@example.com,North,2021-07-06,Bronze
CUST000009,Thomas,Williams,customer9@example.com,West,2015-11-03,Bronze
CUST000010,Jessica,Anderson,customer10@example.com,South,2017-08-27,Gold
CUST000011,William,Moore,customer11@example.com,East,2019-05-29,Gold
CUST000012,David,Davis,customer12@example.com,East,2017-08-14,Bronze
CUST000013,Michael,Williams,customer13@example.com,Central,2016-03-22,Silver
CUST000014,Patricia,Williams,customer14@example.com,West,2020-03-23,Gold
CUST000015,Jessica,Johnson,customer15@example.com,Central,2019-01-07,Silver
CUST000016,Joseph,Jones,customer16@example.com,West,2017-12-21,Bronze
CUST000017,John,Williams,customer17@example.com,East,2022-11-26,Bronze
CUST000018,Michael,Moore,customer18@example.com,East,2016-08-30,Bronze
CUST000019,Linda,Garcia,customer19@example.com,West,2020-10-04,Bronze
CUST000020,Elizabeth,Jones,customer20@example.com,South,2015-05-08,Platinum
CUST000021,Joseph,Rodriguez,customer21@example.com,Central,2017-10-20,Bronze
CUST000022,Joseph,Johnson,customer22@example.com,South,2016-05-12,Bronze
CUST000023,Mary,Moore,customer23@example.com,South,2016-06-19,Silver
CUST000024,Richard,Garcia,customer24@example.com,North,2021-07-13,Gold
CUST000025,John,Smith,customer25@example.com,North,2017-03-20,Platinum
CUST000026,Robert,Johnson,customer26@example.com,East,2016-05-16,Bronze
CUST000027,Joseph,Smith,customer27@example.com,South,2021-06-08,Platinum
CUST000028,Richard,Davis,customer28@example.com,North,2019-04-17,Platinum
CUST000029,Jennifer,Garcia,customer29@example.com,South,2017-02-05,Gold
CUST000030,William,Davis,customer30@example.com,South,2015-05-22,Silver
CUST000031,Elizabeth,Davis,customer31@example.com,West,2021-03-05,Platinum
CUST000032,Mary,Johnson,customer32@example.com,East,2019-04-18,Silver
CUST000033,Jessica,Brown,customer33@example.com,Central,2017-10-17,Bronze
CUST000034,Richard,Thomas,customer34@example.com,East,2020-05-18,Platinum
CUST000035,Susan,Martinez,customer35@example.com,Central,2018-08-10,Platinum
CUST000036,William,Williams,customer36@example.com,North,2018-07-30,Silver
CUST000037,James,Thomas,customer37@example.com,East,2015-08-28,Platinum
CUST000038,Thomas,Garcia,customer38@example.com,Central,2017-08-11,Silver
CUST000039,Patricia,Brown,customer39@example.com,South,2017-12-27,Bronze
CUST000040,Linda,Martinez,customer40@example.com,West,2018-12-24,Silver
CUST000041,Jennifer,Brown,customer41@example.com,Central,2018-07-26,Gold
CUST000042,Charles,Smith,customer42@example.com,East,2021-05-14,Silver
CUST000043,Charles,Brown,customer43@example.com,West,2021-01-29,Gold
CUST000044,Jennifer,Davis,customer44@example.com,North,2016-01-05,Bronze
CUST000045,Linda,Martinez,customer45@example.com,South,2015-03-23,Platinum
CUST000046,James,Garcia,customer46@example.com,Central,2017-04-05,Silver
CUST000047,David,Taylor,customer47@example.com,South,2018-08-18,Bronze
CUST000048,James,Williams,customer48@example.com,Central,2022-11-26,Silver
CUST000049,Patricia,Moore,customer49@example.com,Central,2019-02-03,Bronze
CUST000050,Susan,Taylor,customer50@example.com,West,2021-07-28,Bronze
CUST000051,David,Jones,customer51@example.com,East,2016-07-12,Silver
CUST000052,Jessica,Thomas,customer52@example.com,West,2022-04-13,Gold
CUST000053,Jennifer,Taylor,customer53@example.com,Central,2022-10-11,Gold
CUST000054,Linda,Anderson,customer54@example.com,Central,2016-12-19,Platinum
CUST000055,Elizabeth,Taylor,customer55@example.com,East,2016-06-05,Silver
CUST000056,James,Taylor,customer56@example.com,Central,2019-05-23,Bronze
CUST000057,Jennifer,Martinez,customer57@example.com,East,2021-11-09,Silver
CUST000058,Charles,Johnson,customer58@example.com,West,2016-07-30,Gold
CUST000059,John,Brown,customer59@example.com,East,2018-08-01,Silver
CUST000060,John,Moore,customer60@example.com,East,2020-01-04,Bronze
CUST000061,William,Brown,customer61@example.com,South,2022-10-10,Bronze
CUST000062,Susan,Jones,customer62@example.com,North,2023-01-29,Bronze
CUST000063,Mary,Miller,customer63@example.com,West,2023-03-20,Platinum
CUST000064,Jennifer,Miller,customer64@example.com,West,2019-04-01,Gold
CUST000065,Karen,Miller,customer65@example.com,North,2020-05-17,Silver
CUST000066,Jennifer,Davis,customer66@example.com,North,2015-05-17,Gold
CUST000067,James,Garcia,customer67@example.com,East,2016-03-04,Bronze
CUST000068,David,Williams,customer68@example.com,West,2016-10-21,Bronze
CUST000069,Karen,Johnson,customer69@example.com,East,2021-08-30,Platinum
CUST000070,James,Miller,customer70@example.com,South,2021-10-23,Platinum
CUST000071,Jennifer,Smith,customer71@example.com,North,2018-09-18,Silver
CUST000072,Michael,Miller,customer72@example.com,Central,2023-02-05,Gold
CUST000073,Elizabeth,Jones,customer73@example.com,South,2016-01-28,Bronze
CUST000074,Richard,Martinez,customer74@example.com,Central,2020-07-03,Silver
CUST000075,Mary,Garcia,customer75@example.com,North,2019-10-18,Bronze
CUST000076,Elizabeth,Moore,customer76@example.com,Central,2020-05-21,Silver
CUST000077,Patricia,Smith,customer77@example.com,South,2016-11-30,Gold
CUST000078,John,Davis,customer78@example.com,North,2018-06-17,Platinum
CUST000079,Sarah,Davis,customer79@example.com,East,2016-01-09,Platinum
CUST000080,Jennifer,Garcia,customer80@example.com,West,2019-02-22,Silver
CUST000081,Joseph,Smith,customer81@example.com,East,2019-12-07,Platinum
CUST000082,William,Brown,customer82@example.com,East,2021-04-30,Bronze
CUST000083,Robert,Thomas,customer83@example.com,North,2015-12-18,Gold
CUST000084,Karen,Miller,customer84@example.com,Central,2017-07-20,Bronze
CUST000085,Richard,Moore,customer85@example.com,Central,2019-09-11,Platinum
CUST000086,Charles,Brown,customer86@example.com,West,2018-05-09,Bronze
CUST000087,Richard,Moore,customer87@example.com,North,2020-08-18,Silver
CUST000088,Patricia,Thomas,customer88@example.com,West,2016-12-09,Silver
CUST000089,Michael,Thomas,customer89@example.com,South,2016-05-31,Bronze
CUST000090,Jessica,Johnson,customer90@example.com,West,2017-04-07,Silver
CUST000091,Nancy,Jones,customer91@example.com,East,2023-02-26,Bronze
CUST000092,John,Miller,customer92@example.com,Central,2019-06-16,Gold
CUST000093,William,Rodriguez,customer93@example.com,West,2015-02-20,Platinum
